question,variant,virtual_time,resolved_fraction,mean_unresolved_coverage_est
q4,mainline,11503.465,0.1000,0.0000
q4,mainline,11578.393,0.1000,0.0000
q4,mainline,11653.321,0.1000,0.0000
q4,mainline,11728.250,0.1000,0.0000
q4,mainline,11808.250,0.1000,0.0000
q4,mainline,11883.178,0.1000,0.0000
q4,mainline,11958.106,0.1000,0.0000
q4,mainline,12033.034,0.1000,0.0000
q4,mainline,12107.962,0.1000,0.0000
q4,mainline,12182.891,0.1000,0.0000
q4,mainline,12257.819,0.1000,0.0000
q4,mainline,12332.747,0.1000,0.0000
q4,mainline,12407.675,0.1000,0.0000
q4,mainline,12484.603,0.1500,0.0000
q4,mainline,12490.603,0.1500,0.0000
q4,mainline,12496.603,0.1500,0.0000
q4,mainline,12779.319,0.1500,0.0000
q4,mainline,12785.319,0.1500,0.0000
q4,mainline,12904.839,0.1500,0.0000
q4,mainline,12910.839,0.1500,0.0000
q4,mainline,13216.088,0.1500,0.0000
q4,mainline,13291.016,0.1500,0.0000
q4,mainline,13365.944,0.1500,0.0000
q4,mainline,13440.873,0.1500,0.0000
q4,mainline,13515.801,0.1500,0.0000
q4,mainline,13590.729,0.1500,0.0000
q4,mainline,13670.729,0.1500,0.0000
q4,mainline,13745.657,0.1500,0.0000
q4,mainline,13820.585,0.1500,0.0000
q4,mainline,13895.514,0.1500,0.0000
q4,mainline,13970.442,0.1500,0.0000
q4,mainline,14045.370,0.1500,0.0000
q4,mainline,14120.298,0.1500,0.0000
q4,mainline,14195.226,0.1500,0.0000
q4,mainline,14270.155,0.1500,0.0000
q4,mainline,14345.083,0.1500,0.0000
q4,mainline,14420.011,0.1500,0.0000
q4,mainline,14494.939,0.1500,0.0000
q4,mainline,14569.867,0.1500,0.0000
q4,mainline,14644.796,0.1500,0.0000
q4,mainline,14719.724,0.1500,0.0000
q4,mainline,14794.652,0.1500,0.0000
q4,mainline,14869.580,0.1500,0.0000
q4,mainline,14944.508,0.1500,0.0000
q4,mainline,15019.437,0.1500,0.0000
q4,mainline,15094.365,0.1500,0.0000
q4,mainline,15169.293,0.1500,0.0000
q4,mainline,15244.221,0.1500,0.0000
q4,mainline,15319.150,0.1500,0.0000
q4,mainline,15394.078,0.1500,0.0000
q4,mainline,15469.006,0.1500,0.0000
q4,mainline,15543.934,0.1500,0.0000
