policy,question,case_id,case_hash,case_seed,source_count,scenario,complete,verifier_all_ok,world_match,cleared_count,sources_total,clear_rate,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,move_distance_m,n_measures,n_switches,n_clear_attempts,parameter_sha256,metrics_path,ledger_error_s,accepted
v2_final,q3,paper_q3_n16_s950050,c48cbf90cb3e8c2933b76686b9620aa28fc6c649441dbd55321160cb9554c43a,950050,16,random,True,True,True,16,16,1.0,195.00918289330195,3120.1469262928313,2385.146926292832,550.0,105.0,80.0,11925.734631464162,110,105,16,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950050/metrics.json,9.094947017729282e-13,True
v2_final,q3,paper_q3_n16_s950051,cbfbbaeb42d25c087942aa7e4f20396216e71e79a483ddb33bf23ece5db04cf4,950051,16,random,True,True,True,16,16,1.0,214.2074922387285,3427.319875819656,2684.319875819656,555.0,105.0,83.0,13421.59937909828,111,105,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950051/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950052,7eb42ce9d4b90b14eff5f7c5e114639d05ec7d509ab13d7fb17c2e9e2f9c24d6,950052,16,random,True,True,True,16,16,1.0,201.6518406197659,3226.4294499162543,2497.4294499162547,545.0,101.0,83.0,12487.147249581274,109,101,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950052/metrics.json,4.547473508864641e-13,True
v2_final,q3,paper_q3_n16_s950053,12693971ed6436a5f877251cc13c4bbccc90027455d718e8c6849d75a7b6aa7e,950053,16,random,True,True,True,16,16,1.0,199.77843209904626,3196.45491358474,2509.4549135847396,510.0,97.0,80.0,12547.274567923694,102,97,16,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950053/metrics.json,-4.547473508864641e-13,True
v2_final,q3,paper_q3_n16_s950054,7671596cbafe749024aaaf80c4a7734c53affbd53c1bfe74bfa1054018fd6a82,950054,16,random,True,True,True,16,16,1.0,195.7395779010671,3131.8332464170735,2474.8332464170726,485.0,92.0,80.0,12374.166232085361,97,92,16,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950054/metrics.json,-9.094947017729282e-13,True
v2_final,q3,paper_q3_n16_s950055,c9c8ef5e441bf5f1a98a4a80f8a62d046fb8b3ba1641e492c447bac80a19bec9,950055,16,random,True,True,True,16,16,1.0,226.37410666400154,3621.9857066240247,2831.9857066240243,590.0,108.0,92.0,14159.928533120119,118,108,20,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950055/metrics.json,-4.547473508864641e-13,True
v2_final,q3,paper_q3_n16_s950056,2d52a8547d9db19a9d5e4f15537edb498f5796dec973f30fcbf7ed42b13c0184,950056,16,random,True,True,True,16,16,1.0,168.401772980832,2694.428367693312,2076.4283676933114,450.0,85.0,83.0,10382.14183846656,90,85,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950056/metrics.json,-4.547473508864641e-13,True
v2_final,q3,paper_q3_n16_s950057,657aecfb851377edc3fcd073d7493c10e45163b09a3b678d80cfece86d9e6055,950057,16,random,True,True,True,16,16,1.0,197.14368772115267,3154.299003538443,2465.299003538443,505.0,95.0,89.0,12326.495017692216,101,95,19,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950057/metrics.json,0.0,True
v2_final,q3,paper_q3_n16_s950058,01cc62b086c8667a6c0f19e2a0705cdb9931ec4dd63b11aa18ff5d0284201924,950058,16,random,True,True,True,16,16,1.0,194.42905397551766,3110.8648636082826,2346.864863608282,575.0,106.0,83.0,11734.324318041408,115,106,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950058/metrics.json,-4.547473508864641e-13,True
v2_final,q3,paper_q3_n16_s950059,08036235255756fff9b0c757dff29b17d197bf1ecea01afbd5848d449717befd,950059,16,random,True,True,True,16,16,1.0,210.31788796988874,3365.08620751822,2649.0862075182204,535.0,98.0,83.0,13245.431037591099,107,98,17,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,runs/v2_final/q3/paper_q3_n16_s950059/metrics.json,4.547473508864641e-13,True
